Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volts (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv (°),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Estimate (steps),Engine Start Mode (mode),Ethanol Final (%),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),Knock Sum (count),MAF Corr Final (g/s),MAF Table (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),TPS Volts Main (V),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17439][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: _Stage 1 19psi.ptm - Realtime: _Stage 1 19psi.ptm]
64.978,1.56,6.25,-1.88,11.47,10.00,4.02,100.0,13.52,11.12,11.30,11.36,0.0,1.90,1031.3,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2202,2176,78.8,4,5.00,18.64,77,7,146.33,148.68,3.52,23.61,200,0.0,3.50,4598,347.68,7.71,1.000,39.84,3.92,32.00,100.0,84,41.57,0
64.995,1.56,6.25,-1.88,11.21,10.00,3.80,100.0,13.52,11.08,11.30,11.36,0.0,1.90,1031.3,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2145,2176,78.8,4,5.00,18.64,77,7,146.33,147.46,3.52,23.52,200,0.0,4.00,4604,347.70,7.82,1.000,39.84,3.92,32.00,100.0,84,41.57,0
65.022,-0.78,6.25,-2.12,11.00,10.00,3.58,100.0,13.44,10.92,11.29,11.35,0.0,1.89,1031.3,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2078,2176,78.8,4,5.50,18.69,77,7,143.98,138.11,3.50,23.87,200,0.0,4.00,4607,347.71,8.01,1.000,37.50,3.92,31.99,100.0,84,41.57,0
65.038,-0.78,6.25,-2.12,10.98,10.00,3.32,100.0,13.44,10.84,11.32,11.37,0.0,1.86,1031.3,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2019,2176,78.8,4,5.50,18.69,77,7,144.05,139.41,3.50,24.25,200,0.0,4.00,4627,347.77,8.07,1.000,37.50,3.92,31.96,100.0,84,41.57,0
65.066,-2.34,6.25,-2.12,11.07,10.00,3.20,100.0,13.44,10.80,11.32,11.37,0.0,1.89,1031.3,11.33,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2190,2176,78.8,4,6.00,18.76,77,7,146.23,152.38,3.56,23.88,200,0.0,4.00,4623,347.76,8.15,1.000,39.06,3.92,31.96,100.0,85,41.57,0
65.097,-1.56,6.25,-2.00,11.20,10.00,3.49,100.0,13.44,10.71,11.29,11.35,0.0,1.87,1032.6,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2175,2176,78.8,4,5.50,17.76,77,7,144.02,136.16,3.52,23.30,200,0.0,4.00,4618,347.75,8.19,1.000,39.06,3.92,31.97,100.0,85,41.57,0
65.128,-1.56,6.25,-2.00,11.23,10.00,3.37,100.0,13.44,10.71,11.32,11.37,0.0,1.86,1032.6,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2053,2176,78.8,4,5.50,17.76,77,7,146.00,153.00,3.52,23.20,200,0.0,4.50,4620,347.76,8.20,1.000,39.06,3.92,31.97,100.0,85,41.57,0
65.155,-1.56,6.25,-2.00,11.25,10.00,3.41,100.0,13.28,10.63,11.30,11.35,0.0,1.91,1032.6,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2147,2176,78.8,4,5.50,17.76,77,7,148.04,151.75,3.66,23.77,200,0.0,4.00,4623,347.76,8.24,1.000,35.94,3.92,31.96,100.0,85,41.57,0
65.193,-0.78,6.25,-2.00,11.15,10.00,3.13,100.0,13.60,10.61,11.27,11.33,0.0,1.93,1032.6,11.27,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2163,2176,78.8,4,5.50,18.80,77,7,149.15,148.07,3.62,23.69,200,0.0,4.00,4641,347.83,8.28,1.000,35.16,3.92,31.94,100.0,85,41.57,0
65.229,-2.34,6.25,-2.12,10.91,10.00,2.99,100.0,13.44,10.69,11.26,11.32,0.0,1.94,1032.6,11.27,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2146,2176,78.8,4,5.50,18.84,77,7,151.12,155.51,3.58,23.22,200,0.0,4.00,4648,347.88,8.21,1.000,35.94,3.92,31.93,100.0,85,41.96,0
65.255,-2.34,6.25,-2.12,10.86,10.00,2.99,100.0,13.44,10.61,11.26,11.33,0.0,1.97,1032.6,11.27,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2276,2176,78.8,4,5.50,18.84,77,7,152.65,156.14,3.58,23.49,200,0.0,3.50,4646,347.85,8.27,1.000,35.94,3.92,31.94,100.0,85,41.96,0
65.284,-3.91,6.25,-2.25,10.89,10.00,3.13,100.0,13.52,10.65,11.21,11.28,0.0,1.99,1033.8,11.23,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2050,2176,78.8,4,5.00,18.83,77,7,154.98,154.26,3.62,23.97,200,0.0,3.50,4648,347.85,8.29,1.000,36.72,3.94,31.94,100.0,85,41.96,0
65.314,-3.91,6.25,-2.25,10.92,10.00,2.92,100.0,13.44,10.78,11.22,11.29,0.0,1.99,1033.8,11.23,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2107,2176,78.8,4,5.00,18.84,77,7,155.45,151.12,3.60,23.31,200,0.0,3.50,4673,347.94,8.25,1.000,38.28,3.92,31.92,100.0,85,41.96,0
65.346,-3.91,6.25,-2.25,10.76,10.00,2.35,100.0,13.28,10.76,11.25,11.32,0.0,1.93,1033.8,11.20,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2240,2176,78.8,4,5.00,18.92,77,7,150.98,143.80,3.54,23.92,201,0.0,4.00,4680,347.95,8.09,1.000,37.50,3.92,31.90,100.0,85,41.96,0
65.378,-5.47,6.25,-2.38,10.75,10.00,2.54,100.0,13.60,10.67,11.25,11.32,0.0,1.91,1033.8,11.27,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2230,2176,78.8,4,5.50,17.94,77,7,149.54,149.90,3.58,24.07,201,0.0,4.00,4671,347.94,8.15,1.000,35.16,3.92,31.89,100.0,85,41.96,0
65.396,-5.47,6.25,-2.38,10.86,10.00,2.57,100.0,13.60,10.74,11.28,11.34,0.0,1.94,1033.8,11.30,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2218,2176,78.8,4,5.50,17.94,77,7,151.93,161.81,3.58,24.06,201,0.0,3.50,4664,347.91,8.12,1.000,35.16,3.92,31.91,100.0,85,41.96,0
65.425,-5.47,6.25,-2.25,11.06,10.00,2.55,100.0,13.52,10.80,11.23,11.29,0.0,1.98,1035.0,11.27,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2129,2176,78.8,4,5.00,17.93,77,7,155.28,158.02,3.70,23.53,201,0.0,3.50,4669,347.93,8.05,1.000,38.28,3.92,31.91,100.0,85,41.96,0
65.457,-5.47,6.25,-2.25,11.11,10.00,2.51,100.0,13.52,10.80,11.20,11.26,0.0,2.02,1035.0,11.20,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2204,2176,78.8,4,5.00,17.93,77,7,158.11,159.90,3.70,24.25,201,0.0,3.00,4688,347.99,8.00,1.000,38.28,3.92,31.89,100.0,85,41.96,0
65.473,-3.91,6.25,-2.12,10.99,10.00,2.27,91.0,13.44,10.91,11.19,11.26,0.0,2.03,1035.0,11.20,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2181,2176,78.8,4,4.50,19.00,77,7,158.86,154.26,3.66,24.18,201,0.0,3.00,4690,336.05,7.65,1.000,39.06,3.92,31.51,100.0,86,41.96,0
65.504,-4.69,6.25,-2.25,10.84,10.00,2.37,71.0,13.36,10.99,11.19,11.26,0.0,1.97,1035.0,11.20,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2181,2176,78.8,4,4.50,19.99,77,7,154.00,149.90,3.52,23.49,201,0.0,3.50,4685,302.50,5.70,1.000,36.72,3.92,29.60,100.0,86,35.29,0
65.532,-4.69,6.25,-2.25,10.68,10.00,1.58,41.6,13.36,10.91,11.22,11.29,0.0,1.95,1035.0,11.23,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2082,2176,78.8,4,4.50,19.99,77,7,153.55,155.51,3.52,24.44,201,0.0,3.50,4695,250.06,-1.21,1.000,36.72,3.92,22.76,100.0,86,35.29,0
65.549,-7.03,6.25,-2.50,10.82,10.00,1.48,14.9,13.60,10.89,11.24,11.31,0.0,1.95,1035.0,11.27,192,0.625,3.16,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2208,2176,78.8,4,5.00,18.03,77,7,154.63,156.14,3.62,24.13,201,0.0,3.50,4704,150.00,-8.63,1.000,-100.00,3.80,15.35,39.0,86,12.55,0
65.581,-6.25,6.25,-2.25,11.06,10.00,1.48,0.0,13.68,10.01,11.24,11.31,0.0,1.93,1036.2,11.23,192,0.625,0.00,3.87,3.00,0.0,0.0,0.0,0.00,1.05,1.000,2267,438,78.8,4,5.00,18.08,77,7,147.40,115.77,3.50,21.20,201,0.0,4.00,4709,135.00,-13.15,1.000,50.78,1.62,9.91,22.0,86,0.00,0
65.611,-6.25,6.25,-2.25,11.03,10.00,1.94,0.0,13.68,8.04,11.36,11.42,0.0,1.76,1036.2,11.27,192,0.625,0.00,3.52,3.00,0.0,0.0,0.0,0.00,1.05,1.000,1839,438,78.8,4,5.00,18.08,77,7,125.38,72.18,3.50,18.75,201,0.0,5.50,4676,125.00,-11.97,1.000,50.78,1.62,9.47,22.0,86,0.00,0
65.626,-6.25,5.47,-2.25,10.54,10.00,2.42,0.0,13.52,6.10,11.97,12.01,0.0,1.32,1036.2,11.37,192,0.625,0.00,2.81,2.50,0.0,0.0,0.0,0.00,1.05,1.000,1223,438,78.8,4,7.00,17.86,77,7,102.18,44.92,2.68,16.59,201,0.0,12.50,4641,110.00,-10.51,1.000,29.69,1.24,9.02,20.9,86,0.00,0
65.654,0.00,6.25,-2.75,10.33,10.00,2.29,0.0,13.52,3.45,13.05,13.08,0.0,1.02,1036.2,12.76,192,0.625,0.00,2.11,1.00,0.0,0.0,0.0,0.00,0.35,1.000,867,438,78.8,4,8.00,13.90,77,7,76.60,42.68,2.30,13.48,201,0.0,20.00,4655,100.00,-9.05,1.000,9.38,1.18,8.53,19.3,86,0.00,0
65.684,0.00,6.25,-2.75,10.75,10.00,2.18,0.0,13.52,1.07,14.13,14.18,0.0,0.84,1036.2,13.16,192,0.625,0.00,1.76,1.00,0.0,0.0,0.0,0.00,0.35,1.000,704,438,78.8,4,8.00,13.90,77,7,63.74,42.21,2.30,11.93,201,0.0,23.50,4666,0.00,-12.50,1.000,9.38,1.18,3.28,19.3,86,0.00,0
65.699,0.00,7.03,-2.00,12.06,14.55,-3.28,0.0,13.44,-1.19,14.05,14.20,0.0,0.71,1036.2,13.16,192,0.625,0.00,0.70,1.00,0.0,0.0,0.0,0.00,0.00,1.000,589,438,78.8,4,-14.50,11.92,77,7,49.17,10.44,2.02,8.45,201,0.0,26.50,4625,0.00,-8.61,1.000,-1.56,0.80,3.25,7.9,86,0.00,0
65.728,0.00,7.03,-0.75,13.18,16.75,-8.59,0.0,13.36,-3.83,14.05,14.20,0.0,0.54,1037.5,13.16,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,712,438,78.8,4,-15.00,9.79,77,7,40.60,7.37,1.22,6.43,201,0.0,29.00,4591,0.00,-6.70,1.000,-35.94,0.82,3.22,7.9,86,0.00,0
65.765,0.00,7.03,-0.75,13.74,15.16,-8.28,0.0,13.36,-6.12,14.07,14.22,0.0,0.45,1037.5,13.16,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,568,438,78.8,4,-15.00,9.79,77,7,31.76,2.89,1.22,4.75,201,0.0,30.00,4562,0.00,-3.75,1.000,-35.94,0.82,3.18,7.9,86,0.00,0
65.802,0.00,7.03,-0.38,14.09,14.36,-6.25,0.0,13.68,-7.73,14.09,14.24,0.0,0.36,1037.5,13.02,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,507,438,78.8,4,-14.00,6.80,77,7,26.29,2.12,0.84,4.10,201,0.0,31.00,4525,0.00,-2.71,1.000,-27.34,0.78,3.15,8.3,86,0.00,0
65.833,0.00,7.03,-0.25,14.25,11.61,-5.69,0.0,13.68,-8.82,14.11,14.25,0.0,0.31,1037.5,13.02,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,548,438,71.8,4,-13.00,6.70,77,7,21.63,2.10,0.70,3.27,201,0.0,32.50,4462,0.00,-1.25,1.000,-37.50,0.78,3.09,7.9,86,0.00,0
65.849,0.00,7.03,0.00,15.39,10.20,-5.49,0.0,13.52,-9.61,14.12,14.27,0.0,0.25,1037.5,12.84,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,482,438,71.8,4,-12.50,4.72,77,7,18.09,2.14,0.74,2.94,201,0.0,34.00,4405,0.00,-0.74,1.000,-35.94,0.78,3.06,7.9,86,0.00,0
65.877,0.00,7.03,0.00,17.18,0.00,-6.00,0.0,13.52,-10.00,14.16,14.31,0.0,0.21,1037.5,12.89,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,398,438,71.8,4,-12.50,4.72,77,7,15.59,2.17,0.74,2.62,201,0.0,33.50,4366,0.00,-0.03,1.000,-35.94,0.78,3.02,7.9,86,0.00,0
65.908,0.00,7.03,0.50,20.76,0.00,-6.00,0.0,13.52,-10.33,14.21,14.35,0.0,0.18,1038.8,13.34,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,449,438,71.8,4,-11.50,3.73,77,7,13.48,3.32,0.74,2.28,201,0.0,33.50,4338,0.00,0.24,1.000,-35.94,0.76,3.04,7.9,86,0.00,0
65.938,0.00,7.03,0.88,19.53,0.00,-6.00,0.0,13.60,-10.61,14.28,14.39,0.0,0.17,1038.8,13.44,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,427,438,71.8,5,-10.50,2.75,77,7,11.83,3.76,0.94,2.24,201,0.0,33.50,4295,0.00,0.59,1.000,-35.94,0.76,3.06,7.9,86,0.00,0
65.959,0.00,7.03,0.88,19.67,0.00,-6.00,0.0,13.60,-10.76,14.29,14.39,0.0,0.16,1038.8,13.54,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,427,438,71.8,5,-10.50,2.75,77,7,10.74,5.10,0.94,2.09,201,0.0,33.50,4259,0.00,0.76,1.000,-35.94,0.76,3.07,7.9,86,0.00,0
65.984,0.00,7.03,0.88,19.87,0.00,-6.00,0.0,13.68,-10.88,14.34,14.43,0.0,0.14,1038.8,13.78,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,398,438,71.8,5,-10.00,2.71,77,7,10.02,4.56,1.06,1.93,201,0.0,33.50,4215,0.00,0.87,1.000,-27.34,0.78,3.08,7.9,86,0.00,0
66.014,0.00,7.03,0.88,20.47,0.00,-6.00,0.0,13.68,-10.96,14.39,14.47,0.0,0.13,1038.8,13.94,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,403,438,71.8,5,-10.00,2.71,77,7,9.24,4.92,1.06,1.99,201,0.0,33.00,4191,0.00,0.97,1.000,-27.34,0.78,3.10,7.9,86,0.00,0
66.042,0.00,7.03,1.00,21.19,0.00,-6.00,0.0,13.60,-11.01,14.40,14.47,0.0,0.12,1038.8,13.99,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,408,438,71.8,5,-9.50,2.68,77,7,8.52,4.98,1.06,1.93,201,0.0,33.00,4146,0.00,1.03,1.000,-32.81,0.78,3.11,8.3,86,0.00,0
66.058,0.00,7.03,1.12,21.61,0.00,-6.00,0.0,13.76,-11.05,14.46,14.51,0.0,0.12,1039.4,14.09,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,414,438,71.8,5,-8.50,2.64,77,7,7.96,5.04,1.04,1.93,201,0.0,33.00,4092,0.00,1.12,1.000,-25.78,0.78,3.13,8.3,86,0.00,0
66.089,0.00,7.03,1.25,22.14,0.00,-6.00,0.0,13.52,-11.08,14.52,14.55,0.0,0.10,1039.4,14.42,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,419,438,71.8,5,-7.50,2.60,77,7,7.51,5.04,1.06,1.96,201,0.0,33.00,4065,0.00,1.16,1.000,-25.78,0.78,3.14,8.3,86,0.00,0
66.106,0.00,7.03,1.25,22.20,0.00,-6.00,0.0,13.52,-11.09,14.57,14.59,0.0,0.10,1039.4,14.53,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,425,438,71.8,5,-7.50,2.60,77,7,7.27,5.45,1.06,1.93,201,0.0,33.00,4039,0.00,1.18,1.000,-25.78,0.78,3.15,8.3,86,0.00,0
66.148,0.00,7.03,1.50,22.20,0.00,-6.00,0.0,13.76,-11.11,14.59,14.59,0.0,0.09,1039.4,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,430,438,71.8,5,-7.00,2.56,77,7,6.34,4.68,1.08,1.93,201,0.0,33.00,3979,0.00,1.24,1.000,-24.22,0.72,3.19,6.3,86,0.00,0
66.167,0.00,7.03,1.62,22.20,0.00,-6.00,0.0,13.76,-11.12,14.60,14.59,0.0,0.08,1039.4,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,435,438,71.8,5,-6.00,2.53,77,7,5.84,3.61,0.94,1.93,201,0.0,33.00,3952,0.00,1.23,1.000,-32.81,0.76,3.17,7.9,86,0.00,0
66.206,0.00,7.03,1.62,22.20,0.00,-6.00,0.0,13.76,-11.13,14.61,14.59,0.0,0.08,1039.4,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,441,438,71.8,5,-6.00,2.53,77,7,5.69,3.81,0.94,1.93,201,0.0,33.00,3908,0.00,1.20,1.000,-32.81,0.76,3.12,7.9,86,0.00,0
66.236,0.00,7.03,1.75,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.59,0.0,0.08,1040.0,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,446,438,71.8,5,-5.50,2.49,77,7,5.53,4.44,0.98,1.93,201,0.0,33.00,3867,0.00,1.18,1.000,-44.53,0.76,3.11,7.5,86,0.00,0
66.252,0.00,7.03,1.88,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.59,0.0,0.08,1040.0,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,451,438,71.8,5,-5.50,2.46,77,7,5.40,4.01,0.98,1.93,201,0.0,33.00,3842,0.00,1.15,1.000,-34.38,0.76,3.08,7.5,85,0.00,0
66.281,0.00,7.03,1.88,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.59,0.0,0.08,1040.0,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,455,438,71.8,5,-5.50,2.46,77,7,5.24,4.15,0.98,1.93,201,0.0,33.00,3798,0.00,1.13,1.000,-34.38,0.76,3.06,7.5,85,0.00,0
66.309,0.00,7.03,2.00,22.20,0.00,-6.00,0.0,13.44,-11.13,14.61,14.60,0.0,0.08,1040.0,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,457,438,71.8,5,-5.50,2.42,77,7,5.12,3.71,0.98,1.93,201,0.0,33.00,3754,0.00,1.08,1.000,-34.38,0.76,3.01,7.5,85,0.00,0
66.338,0.00,7.03,2.12,22.20,0.00,-6.00,0.0,13.44,-11.13,14.61,14.60,0.0,0.08,1040.0,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,462,438,71.8,5,-5.50,2.39,77,7,5.03,4.11,0.98,1.93,201,0.0,33.00,3732,0.00,1.06,1.000,-28.12,0.76,2.99,7.5,85,0.00,0
66.367,0.00,7.03,2.12,22.20,0.00,-6.00,0.0,13.44,-11.13,14.61,14.60,0.0,0.08,1040.0,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,467,438,71.8,5,-5.50,2.39,77,7,4.89,3.61,0.98,1.93,201,0.0,33.00,3687,0.00,1.01,1.000,-28.12,0.76,2.94,7.5,85,0.00,0
66.395,0.00,7.03,2.12,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.60,0.0,0.08,1040.6,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,472,438,71.8,5,-5.50,2.35,77,7,4.78,3.26,0.92,1.93,201,0.0,33.00,3646,0.00,0.99,1.000,-32.03,0.76,2.91,7.5,85,0.00,0
66.423,0.00,7.03,2.25,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.60,0.0,0.08,1040.6,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,477,438,71.8,5,-5.50,2.32,77,7,4.67,2.99,0.86,1.93,201,0.0,33.00,3606,0.00,0.97,1.000,-30.47,0.76,2.89,7.5,85,0.00,0
66.452,0.00,7.03,2.25,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.60,0.0,0.08,1040.6,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,478,438,71.8,5,-5.50,2.32,77,7,4.60,3.05,0.86,1.93,201,0.0,32.50,3561,0.00,0.95,1.000,-30.47,0.76,2.88,7.5,85,0.00,0
66.481,0.00,7.03,2.38,22.20,0.00,-6.00,0.0,13.76,-11.13,14.61,14.60,0.0,0.06,1040.6,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,483,438,71.8,6,-5.50,2.28,77,7,4.53,3.56,0.90,1.93,201,0.0,32.50,3530,0.00,0.96,1.000,-28.91,0.76,2.89,7.5,85,0.00,0
66.508,0.00,7.03,2.38,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.60,0.0,0.06,1040.6,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,488,438,71.8,6,-5.50,2.25,77,7,4.45,2.95,0.90,1.93,201,0.0,32.00,3482,0.00,0.98,1.000,-32.03,0.76,2.91,7.5,85,0.00,0
66.540,0.00,7.03,2.50,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.60,0.0,0.06,1041.2,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,490,438,71.8,6,-5.50,2.21,77,7,4.38,3.16,0.86,1.93,201,0.0,32.00,3459,0.00,0.99,1.000,-33.59,0.74,2.91,7.5,85,0.00,0
66.568,0.00,7.03,2.50,22.20,0.00,-6.00,0.0,13.60,-11.13,14.61,14.60,0.0,0.06,1041.2,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,494,438,71.8,6,-5.50,2.21,77,7,4.28,2.86,0.86,1.93,201,0.0,32.00,3403,0.00,1.00,1.000,-33.59,0.74,2.93,7.5,85,0.00,0
66.597,0.00,7.03,2.50,22.20,0.00,-6.00,0.0,13.76,-11.13,14.61,14.60,0.0,0.06,1041.2,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,499,438,71.8,6,-5.50,2.18,77,7,4.19,2.89,0.84,1.93,201,0.0,31.50,3376,0.00,1.01,1.000,-32.81,0.74,2.94,7.5,85,0.00,0
66.627,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.52,-11.13,14.61,14.60,0.0,0.06,1041.2,14.70,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,504,438,71.8,6,16.50,2.15,77,7,4.13,3.19,0.88,1.93,201,0.0,31.50,3345,0.00,1.03,1.000,-32.81,0.74,2.95,7.1,85,0.00,0
66.655,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.68,-11.13,14.61,14.60,0.0,0.06,1041.2,13.25,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,504,438,71.8,6,16.50,2.11,77,7,4.06,3.71,0.96,1.93,201,0.0,31.50,3302,0.00,1.04,1.000,-32.03,0.74,2.96,7.1,85,0.00,0
66.683,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.68,-11.13,14.61,14.60,0.0,0.06,1041.2,13.25,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,510,438,71.8,6,16.50,2.11,77,7,4.00,3.42,0.96,1.93,201,0.0,31.00,3260,0.00,1.05,1.000,-32.03,0.74,2.98,7.1,85,0.00,0
66.712,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.60,-11.12,14.61,14.60,0.0,0.06,1041.8,13.25,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,515,438,71.8,6,16.50,2.08,77,7,3.96,3.39,0.94,1.94,201,0.0,31.00,3227,0.00,1.06,1.000,-39.84,0.74,2.99,7.1,85,0.00,0
66.743,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.36,-11.13,14.61,14.60,0.0,0.06,1041.8,13.20,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,515,438,71.8,6,16.50,2.05,77,7,3.89,2.89,0.84,1.93,201,0.0,30.50,3190,0.00,1.07,1.000,-30.47,0.74,3.00,7.1,85,0.00,0
66.759,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.36,-11.12,14.61,14.60,0.0,0.06,1041.8,13.25,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,520,438,71.8,6,16.50,2.05,77,7,3.83,3.26,0.84,1.93,201,0.0,30.50,3145,0.00,1.08,1.000,-30.47,0.74,3.02,7.1,85,0.00,0
66.787,0.00,7.03,2.62,22.20,0.00,-6.00,0.0,13.76,-11.13,14.61,14.60,0.0,0.06,1041.8,13.30,192,0.625,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,1.000,522,438,71.8,6,16.50,2.01,77,7,3.81,3.05,0.90,1.93,201,0.0,30.50,3122,0.00,1.10,1.000,-31.25,0.74,3.02,7.1,85,0.00,0
