Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Sens 1 Curr (mA),AF Sens 1 Ratio (AFR),AVCS Exh Table (°),AVCS In Table (°),Accel Position (%),Battery Volt (V),Boost Extended (psi),CL Fuel Target (AFR),CL Fuel Target Table (AFR),CPC Purge Valve Duty (%),Calculated Load (g/rev),Catalyst Temp (F),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Dynamic Adv Base Table (°),Dynamic Adv Lrn (°),EGR Actual (steps),Engine Start Mode (mode),Feedback Knock (°),Fine Knock Learn (°),Fuel Econ Corr (mult),Fuel Pressure (psi),Fuel Pressure Target (psi),Fuel Pump Duty (%),Gear Position (Gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Corr Final (g/s),MAF Table (g/s),MAF Volt (V),Man Abs Press (psi),Oil Temp (F),Per Gear Boost (%),Primary Ign (°),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TGV Map Ratio (mult),TPS Duty (%),Target Boost Final Abs Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.1-17032][2016 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1 91 v361.ptm - Realtime: Stage1 91 v361.ptm]
36.615,-6.25,3.91,-0.88,12.96,12.31,-15.26,14.5,13.68,-8.60,14.17,14.70,6.0,0.28,1050.2,14.82,194,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,385,504,71.8,3,26.50,2.02,75,9.48,18.77,1.86,5.10,206,0.0,26.00,1903,114.31,8.02,0.000,46.88,12.21,16.9,25,0.00,0
36.644,-6.25,3.91,-0.88,12.99,20.99,-17.14,15.3,13.68,-8.07,14.21,14.70,6.0,0.31,1050.2,14.82,194,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,389,584,71.8,3,26.50,2.02,75,10.64,19.29,1.86,6.28,206,0.0,24.50,1907,117.54,7.48,0.000,46.88,12.61,16.9,25,0.00,0
36.655,-6.25,3.12,-0.88,13.00,27.49,-18.57,15.7,14.08,-7.67,14.23,14.70,7.6,0.35,1050.2,14.82,194,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,416,584,71.8,3,24.50,2.03,75,11.52,19.55,1.88,6.59,206,0.0,23.50,1907,121.56,7.36,0.000,46.88,12.88,17.3,25,0.00,0
36.671,-6.25,3.12,-0.88,13.05,31.83,-19.53,16.5,14.08,-7.15,14.25,14.70,7.6,0.37,1050.2,14.82,194,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,451,650,71.8,3,24.50,2.03,75,12.41,20.21,1.88,6.87,206,0.0,22.00,1900,124.97,7.22,0.000,46.88,13.14,17.3,25,0.00,0
36.708,-6.25,3.12,-0.88,13.40,36.69,-18.13,16.9,14.08,-6.41,14.29,14.70,7.6,0.41,1050.2,14.76,194,0.688,0.00,0.00,0.0,0.0,0.00,0.00,1.000,559,730,71.8,3,21.50,2.02,75,13.56,21.01,1.92,7.53,206,0.0,20.00,1880,128.59,6.64,0.000,39.84,13.44,18.1,25,0.00,0
36.751,-5.47,2.34,-0.62,13.82,40.39,-15.39,16.9,14.00,-5.69,14.33,14.71,8.4,0.45,1050.2,14.76,194,0.688,0.00,0.00,5.0,0.0,0.00,0.00,1.000,679,823,71.8,3,20.00,2.39,75,14.38,20.86,1.94,8.19,206,0.0,18.00,1845,128.79,6.35,0.000,46.09,13.53,18.5,25,0.00,0
36.772,-3.91,2.34,-0.38,14.03,41.65,-14.47,16.9,13.76,-5.23,14.35,14.71,8.4,0.47,1049.9,14.76,194,0.688,0.00,0.00,5.0,0.0,0.00,0.00,1.000,719,823,71.8,3,18.50,2.36,75,14.82,22.05,1.96,8.97,206,0.0,17.50,1847,128.76,5.67,0.000,32.81,13.53,19.3,25,0.00,0
36.797,-3.91,2.34,-0.38,14.23,44.48,-12.57,16.9,13.76,-4.82,14.37,14.70,8.4,0.49,1049.9,14.76,194,0.688,0.00,0.00,7.0,0.0,0.00,0.00,1.000,758,916,71.8,3,18.50,2.36,75,15.43,22.35,1.96,8.92,206,0.0,17.00,1862,128.53,5.24,0.000,32.81,13.51,19.3,25,0.00,0
36.837,-3.12,1.56,-0.25,14.51,46.31,-11.55,16.9,13.84,-4.26,14.41,14.70,9.6,0.52,1049.9,14.76,194,0.688,0.00,0.00,8.0,0.0,0.00,0.00,1.000,849,916,71.8,3,17.50,2.38,75,16.31,21.45,1.98,9.51,206,0.0,16.50,1887,127.81,4.54,0.000,30.47,13.38,19.7,25,0.00,0
36.861,-1.56,1.56,0.00,14.64,47.88,-10.57,16.9,13.68,-4.00,14.43,14.70,9.6,0.52,1049.9,14.76,194,0.688,0.00,0.00,9.0,0.0,0.00,0.00,1.000,891,1022,71.8,3,17.50,2.41,75,16.57,21.45,1.96,9.94,206,0.0,16.00,1886,127.74,4.17,0.000,22.66,13.36,19.7,25,0.00,0
36.894,-0.78,1.56,0.00,14.78,47.19,-9.61,16.9,13.92,-3.71,14.45,14.70,9.6,0.53,1049.9,14.76,194,0.688,0.00,0.00,9.0,0.0,0.00,0.00,1.000,967,1022,71.8,3,16.50,2.41,75,16.78,20.60,1.94,9.87,206,0.0,15.50,1883,127.79,3.96,0.000,43.75,13.36,19.7,25,0.00,0
36.919,-0.78,1.56,0.00,14.98,46.97,-9.65,16.9,13.92,-3.35,14.49,14.70,10.8,0.53,1049.9,14.76,194,0.688,0.00,0.00,11.0,0.0,0.00,-1.41,1.000,993,1022,71.8,3,16.50,2.41,75,16.90,20.34,1.94,10.17,206,0.0,15.00,1874,127.95,3.62,0.000,43.75,13.41,19.7,25,0.00,0
36.944,0.00,1.56,0.00,15.09,46.78,-9.69,16.9,13.68,-3.18,14.51,14.70,10.8,0.53,1049.6,14.76,194,0.688,0.00,-1.50,11.0,0.0,0.00,-1.41,1.000,940,1022,71.8,3,15.00,2.39,75,16.93,20.60,1.94,10.28,206,0.0,15.00,1867,127.72,3.45,0.000,42.97,13.41,20.1,25,0.00,0
36.976,0.00,1.56,0.00,15.20,46.00,-8.77,16.9,13.68,-3.01,14.53,14.70,10.8,0.54,1049.6,14.76,194,0.688,0.00,-1.50,12.0,0.0,0.00,-1.41,1.000,1037,1022,71.8,3,15.00,2.39,75,17.01,20.47,1.94,10.43,206,0.0,15.00,1862,127.80,3.30,0.000,42.97,13.42,20.1,25,0.00,0
36.991,0.78,0.78,0.00,15.25,46.07,-8.75,16.9,14.08,-2.83,14.57,14.70,11.2,0.54,1049.6,14.76,194,0.688,0.00,-1.50,13.0,0.0,0.00,-1.41,1.000,1011,1022,71.8,3,15.00,2.38,75,17.25,19.81,1.92,10.60,206,0.0,14.50,1867,128.44,3.09,0.000,31.25,13.46,20.1,25,0.00,0
37.022,0.78,0.78,0.12,15.33,46.24,-8.71,16.9,13.84,-2.68,14.59,14.70,11.2,0.54,1049.6,14.76,194,0.688,0.00,-1.50,13.0,0.0,0.00,-1.41,1.000,977,1022,71.8,3,14.50,2.39,75,17.44,19.55,1.92,10.67,206,0.0,14.50,1878,128.62,2.98,0.000,27.34,13.46,20.5,25,0.00,0
37.054,1.56,0.00,0.12,15.40,45.93,-7.66,16.9,14.00,-2.59,14.62,14.70,11.6,0.56,1049.6,14.76,194,0.688,0.00,-1.50,13.0,0.0,0.00,-1.41,1.000,1028,1022,71.8,3,14.50,2.42,75,17.59,20.21,1.90,10.78,206,0.0,14.50,1887,128.11,2.84,0.000,36.72,13.41,20.1,25,0.00,0
37.068,1.56,0.00,0.12,15.56,46.03,-7.63,16.9,14.00,-2.47,14.65,14.70,11.6,0.56,1049.6,14.76,194,0.688,0.00,-1.50,14.0,0.0,0.00,-1.41,1.000,1052,1115,71.8,3,14.50,2.42,75,17.67,19.94,1.90,10.86,206,0.0,14.50,1890,128.43,2.67,0.000,36.72,13.40,20.1,25,0.00,0
37.097,2.34,0.00,0.12,15.58,45.95,-7.65,16.9,13.76,-2.39,14.67,14.70,11.6,0.56,1049.4,14.76,194,0.688,0.35,-1.50,15.0,0.0,0.00,-1.41,1.000,1060,1115,71.8,3,14.50,2.42,75,17.67,19.68,1.90,10.86,206,0.0,14.50,1886,128.14,2.58,0.000,26.56,13.39,20.5,25,0.00,0
37.112,2.34,0.00,0.12,15.58,45.76,-7.71,16.9,13.76,-2.36,14.69,14.70,11.6,0.56,1049.4,14.76,194,0.688,0.35,-1.50,15.0,0.0,0.00,-1.41,1.000,1066,1115,71.8,3,14.50,2.42,75,17.69,19.81,1.90,10.92,206,0.0,14.00,1881,127.83,2.55,0.000,26.56,13.38,20.5,25,0.00,0
37.141,2.34,0.00,0.12,15.64,45.69,-7.73,16.9,13.92,-2.30,14.71,14.70,11.6,0.56,1049.4,14.76,194,0.688,0.35,-1.50,15.0,0.0,0.00,-1.41,1.000,1083,1115,71.8,3,14.50,2.40,75,17.70,19.29,1.90,10.92,206,0.0,14.00,1873,128.34,2.55,0.000,22.66,13.43,20.5,25,0.00,0
37.175,2.34,0.00,0.12,15.64,45.64,-7.74,16.9,13.92,-2.26,14.83,14.70,11.6,0.56,1049.4,14.87,194,0.688,0.35,-1.50,15.0,0.0,0.00,-1.41,1.000,1082,1115,71.8,3,14.50,2.40,75,17.75,19.68,1.90,10.96,206,0.0,14.00,1874,128.32,2.51,0.000,22.66,13.44,20.5,25,0.00,0
37.205,2.34,0.00,0.12,15.64,45.19,-6.72,17.3,13.68,-2.20,14.83,14.70,11.6,0.57,1049.4,14.87,194,0.688,0.35,-1.50,15.0,0.0,0.00,-1.41,1.000,1116,1115,71.8,3,14.50,2.40,75,17.88,19.94,1.90,11.05,206,0.0,14.00,1879,128.96,2.46,0.000,32.03,13.46,20.5,25,0.00,0
37.233,2.34,-0.78,0.12,15.63,45.23,-6.71,17.3,13.92,-2.16,14.83,14.70,11.9,0.57,1049.4,14.87,194,0.688,0.35,-1.50,15.0,0.0,0.00,-1.41,1.000,1085,1115,71.8,3,14.00,2.41,75,18.09,19.81,1.90,11.09,206,0.0,13.50,1885,130.34,2.50,0.000,29.69,13.53,20.5,25,0.00,0
37.248,3.12,-0.78,0.12,15.66,45.36,-6.67,17.6,13.68,-2.16,14.83,14.70,11.9,0.57,1049.2,14.87,194,0.688,0.35,-1.50,17.0,0.0,0.00,-1.41,1.000,1105,1115,71.8,3,14.00,2.42,75,18.20,19.68,1.90,11.03,206,0.0,14.00,1891,132.05,2.55,0.000,42.19,13.60,20.9,25,0.00,0
37.278,3.12,-0.78,0.12,15.62,45.33,-6.67,17.6,13.68,-2.11,14.83,14.70,11.9,0.57,1049.2,14.87,194,0.688,0.35,-1.50,17.0,0.0,0.00,-1.41,1.000,1080,1115,71.8,3,14.00,2.42,75,18.26,20.60,1.90,11.12,206,0.0,14.00,1890,132.44,2.57,0.000,42.19,13.65,20.9,25,0.00,0
37.294,3.12,-0.78,0.12,15.61,45.35,-6.67,18.0,13.92,-2.07,14.83,14.70,11.9,0.57,1049.2,14.87,194,0.688,0.35,-1.50,17.0,0.0,0.00,-1.41,1.000,1101,1115,71.8,3,14.50,2.42,75,18.35,20.34,1.92,11.18,206,0.0,14.00,1889,133.19,2.61,0.000,28.91,13.73,20.9,25,0.00,0
37.324,3.12,-0.78,0.12,15.58,44.68,-5.70,18.0,13.92,-2.03,14.83,14.70,11.9,0.58,1049.2,14.87,194,0.688,0.70,-1.50,17.0,0.0,0.00,-1.41,1.000,1115,1115,71.8,3,14.50,2.42,75,18.46,20.21,1.92,11.26,206,0.0,13.50,1888,133.20,2.57,0.000,28.91,13.74,20.9,25,0.00,0
37.351,3.12,-0.78,0.12,15.53,44.68,-5.70,18.0,13.92,-1.99,14.83,14.70,11.9,0.58,1049.2,14.87,194,0.688,0.70,-1.50,17.0,0.0,0.00,-1.41,1.000,1167,1115,71.8,3,14.00,2.42,75,18.59,20.34,1.92,11.26,206,0.0,13.50,1889,134.28,2.61,0.000,30.47,13.81,20.9,25,0.00,0
37.386,3.12,-0.78,0.12,15.47,44.80,-5.66,18.0,14.00,-1.93,14.83,14.70,11.9,0.58,1049.2,14.87,194,0.688,0.70,-1.50,18.0,0.0,0.00,-1.41,1.000,1121,1115,71.8,3,14.00,2.42,75,18.76,21.01,1.94,11.42,206,0.0,13.00,1897,134.90,2.57,0.000,32.03,13.81,20.9,25,0.00,0
37.411,3.12,-0.78,0.12,15.40,44.27,-4.62,18.4,14.00,-1.85,14.83,14.69,11.9,0.59,1049.0,14.87,194,0.688,0.70,-1.50,19.0,0.0,0.00,-1.41,1.000,1132,1115,71.8,3,13.50,2.43,75,18.97,20.47,1.94,11.41,206,0.0,13.00,1902,135.91,2.55,0.000,44.53,13.89,21.3,25,0.00,0
37.437,3.12,-0.78,0.12,15.32,44.30,-4.61,18.8,14.00,-1.80,14.83,14.69,11.9,0.59,1049.0,14.87,194,0.688,0.70,-1.50,19.0,0.0,0.00,-1.41,1.000,1151,1208,71.8,3,13.50,2.43,75,19.11,21.01,1.94,11.41,206,0.0,13.00,1908,138.40,2.63,0.000,44.53,14.00,21.3,25,0.00,0
37.470,3.12,-0.78,0.12,15.25,44.32,-4.60,19.6,13.84,-1.77,14.83,14.69,13.1,0.59,1049.0,14.87,194,0.688,1.05,-1.50,19.0,0.0,0.00,-1.41,1.000,1216,1208,71.8,3,13.50,2.44,75,19.22,20.86,1.94,11.51,206,0.0,12.50,1907,140.94,2.70,0.000,28.91,14.12,21.7,26,0.00,0
37.505,3.12,-0.78,0.00,15.16,44.29,-4.61,19.6,13.92,-1.69,14.83,14.69,13.1,0.61,1049.0,14.87,194,0.688,1.05,-1.00,19.0,0.0,0.00,-1.41,1.000,1236,1208,71.8,3,13.50,2.44,75,19.36,21.60,1.96,11.67,206,0.0,12.50,1907,143.90,2.78,0.000,29.69,14.25,22.0,26,0.00,0
37.531,3.12,-0.78,0.00,15.11,43.61,-3.63,20.4,13.84,-1.59,14.83,14.69,14.3,0.61,1049.0,14.87,194,0.688,1.05,-1.00,21.0,0.0,0.00,-1.41,1.000,1204,1208,71.8,3,13.00,2.44,75,19.58,21.75,1.98,11.70,206,0.0,12.00,1907,147.07,2.86,0.000,31.25,14.42,22.4,26,0.00,0
37.555,3.12,-0.78,0.00,15.09,42.94,-2.64,21.2,13.84,-1.48,14.83,14.69,14.3,0.62,1049.0,14.87,194,0.688,1.05,-1.00,21.0,0.0,0.00,-1.41,1.000,1242,1208,71.8,3,13.00,2.44,75,19.84,22.20,1.98,11.78,206,0.0,12.00,1910,153.74,2.97,0.000,31.25,14.68,22.4,26,0.00,0
37.593,3.12,-0.78,0.00,15.00,42.99,-2.60,22.4,13.92,-1.38,14.83,14.69,14.3,0.63,1048.8,14.87,194,0.688,1.41,-1.00,22.0,0.0,0.00,-1.41,1.000,1291,1208,71.8,3,13.00,2.44,75,20.32,22.20,1.98,11.94,206,0.0,11.00,1916,161.79,3.22,0.000,48.44,15.04,23.2,26,0.00,0
37.633,2.34,-0.78,0.00,14.98,42.32,-1.58,23.5,14.00,-1.20,14.82,14.68,16.3,0.63,1048.8,14.87,194,0.688,1.41,-1.00,23.0,0.0,0.00,-1.41,1.000,1282,1301,71.8,3,11.50,2.86,75,20.77,23.24,2.00,12.15,206,0.0,11.00,1919,171.34,3.65,0.000,32.81,15.65,24.4,26,0.00,0
37.661,2.34,-0.78,0.00,14.95,41.60,-0.60,24.3,13.92,-1.07,14.82,14.68,16.3,0.65,1048.8,14.87,194,0.688,1.76,-1.00,23.0,0.0,0.00,-1.41,1.000,1350,1301,71.8,3,12.00,2.87,73,21.07,24.21,2.02,12.19,206,0.0,10.50,1920,178.49,3.83,0.000,25.78,15.90,26.0,26,0.00,0
37.696,2.34,-0.78,0.00,14.90,40.69,-0.47,25.1,13.92,-0.97,14.82,14.68,16.3,0.66,1048.8,14.87,194,0.688,1.76,-1.00,25.0,0.0,0.00,-1.41,1.000,1335,1301,71.8,3,12.00,2.87,75,21.54,25.18,2.02,12.42,206,0.0,10.50,1922,183.69,3.99,0.000,25.78,16.18,26.0,26,0.00,0
37.711,2.34,-0.78,0.00,14.85,39.79,-0.34,26.3,13.84,-0.82,14.81,14.67,19.5,0.67,1048.8,14.87,194,0.688,1.76,-0.50,25.0,0.0,0.00,-1.41,1.000,1291,1301,71.8,3,11.50,2.87,73,21.93,25.18,2.08,12.65,206,0.0,10.50,1925,190.85,4.36,0.000,47.66,16.74,27.2,26,0.00,0
37.741,2.34,-0.78,0.00,14.84,38.89,-0.22,27.1,14.00,-0.68,14.81,14.67,19.5,0.69,1048.7,14.82,194,0.688,2.11,-0.50,25.0,0.0,0.00,-1.41,1.000,1350,1301,71.8,3,11.50,2.88,73,22.21,24.85,2.08,12.73,206,0.0,10.50,1928,196.56,4.48,0.000,30.47,16.96,28.3,26,0.00,0
37.756,2.34,-0.78,0.00,14.73,38.89,-0.21,27.8,14.00,-0.61,14.81,14.67,19.5,0.70,1048.7,14.82,194,0.688,2.11,-0.50,25.0,0.0,0.00,-1.41,1.000,1342,1301,71.8,3,11.50,2.88,73,22.52,25.66,2.08,12.71,206,0.0,10.00,1932,202.29,4.64,0.000,30.47,17.21,28.3,26,0.00,0
37.804,1.56,-0.78,0.00,14.66,38.00,-0.10,29.8,14.00,-0.44,14.81,14.67,23.5,0.71,1048.7,14.82,194,0.688,2.11,0.00,25.0,0.0,0.00,-1.41,1.000,1322,1301,71.8,3,11.00,2.89,73,22.95,26.35,2.10,12.87,206,0.0,10.00,1935,215.19,5.33,0.000,28.91,18.04,31.5,26,2.75,0
37.832,1.56,-0.78,0.00,14.62,37.11,0.00,30.6,14.00,-0.32,14.80,14.66,23.5,0.71,1048.7,14.82,194,0.688,2.11,0.00,25.0,0.0,0.00,-1.41,1.000,1324,1393,71.8,3,11.00,2.89,73,23.45,27.57,2.10,13.06,206,0.0,10.00,1937,221.61,5.84,0.000,28.91,18.72,31.5,26,2.75,0
37.865,1.56,-0.78,0.00,14.63,36.22,0.09,31.8,14.08,-0.27,14.80,14.66,0.0,0.72,1048.7,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1348,1393,71.8,3,11.00,2.89,73,23.77,27.05,2.10,13.13,206,0.0,9.50,1939,224.75,6.07,0.000,43.75,18.99,32.3,26,3.92,0
37.891,1.56,-0.78,0.00,14.60,35.30,0.18,32.9,14.00,-0.19,14.80,14.66,0.0,0.74,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1395,1393,71.8,3,10.00,2.90,73,24.01,26.70,2.14,13.18,206,0.0,9.50,1942,229.48,6.29,0.000,31.25,19.27,33.1,26,7.06,0
37.933,1.56,-0.78,0.00,14.62,35.27,0.19,35.3,14.00,-0.07,14.80,14.66,0.0,0.75,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1366,1393,71.8,3,10.00,2.90,73,24.25,26.70,2.14,13.25,206,0.0,9.00,1937,237.68,6.83,0.000,31.25,19.93,33.1,26,7.06,0
37.947,1.56,-0.78,0.00,14.61,34.41,0.25,37.6,14.00,-0.00,14.80,14.66,0.0,0.75,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1425,1393,71.8,3,10.00,2.89,73,24.78,27.22,2.10,13.30,206,0.0,9.00,1945,245.31,7.52,0.000,31.25,20.72,34.3,26,10.59,0
37.977,0.78,-0.78,0.00,14.60,33.54,0.29,39.6,13.76,0.06,14.79,14.65,0.0,0.76,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1408,1447,71.8,3,9.50,2.90,73,25.07,29.00,2.16,13.37,206,0.0,9.00,1953,252.28,7.80,0.000,31.25,21.06,35.8,26,15.69,0
38.006,0.78,-0.78,0.00,14.59,32.67,0.33,40.8,13.76,0.10,14.79,14.65,0.0,0.78,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1427,1447,71.8,3,9.50,2.90,73,25.47,27.57,2.16,13.40,206,0.0,8.50,1958,255.26,8.10,0.000,31.25,21.40,35.8,26,15.69,0
38.021,0.78,-0.78,0.00,14.58,32.71,0.29,42.0,13.92,0.19,14.79,14.65,0.0,0.79,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1400,1447,71.8,3,9.50,2.92,73,25.90,29.95,2.18,13.50,206,0.0,8.50,1962,257.48,8.22,0.000,22.66,21.59,37.8,27,20.00,0
38.035,0.78,-0.78,0.00,14.62,32.31,0.29,42.7,13.92,0.26,14.79,14.65,0.0,0.79,1048.5,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1433,1447,71.8,3,9.50,2.92,73,26.16,28.82,2.18,13.55,206,0.0,8.50,1958,259.10,8.32,0.000,22.66,21.75,37.8,27,20.00,0
38.064,0.78,-0.78,0.00,14.64,31.89,0.29,44.3,14.00,0.33,14.79,14.66,0.0,0.80,1048.4,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1491,1447,71.8,3,8.50,2.92,73,26.37,30.52,2.18,13.65,206,0.0,8.50,1956,260.99,8.40,0.000,49.22,21.87,38.6,27,22.35,0
38.093,0.78,-0.78,0.00,14.69,31.50,0.27,45.1,14.00,0.42,14.79,14.66,0.0,0.81,1048.4,14.82,194,0.688,2.46,0.00,25.0,0.0,0.00,-1.41,1.000,1534,1447,71.8,3,8.50,2.92,73,26.71,30.14,2.22,13.72,206,0.0,8.50,1956,263.70,8.46,0.000,37.50,22.06,39.8,27,23.92,0
38.128,0.78,-0.78,0.00,14.72,31.39,0.29,46.3,14.00,0.49,14.80,14.66,0.0,0.81,1048.4,14.82,194,0.688,2.11,0.00,22.0,0.0,0.00,-1.41,1.000,1469,1447,71.8,3,8.50,2.93,73,27.06,31.09,2.20,13.78,206,0.0,9.00,1959,266.43,8.53,0.020,66.41,22.17,52.0,27,25.88,0
38.151,0.78,-0.78,0.00,14.80,31.20,0.33,48.2,14.00,0.53,14.80,14.66,0.0,0.84,1048.4,14.82,194,0.688,2.11,0.00,16.0,0.0,0.00,-1.41,1.000,1490,1447,71.8,3,8.50,2.93,73,27.95,30.33,2.20,13.85,206,0.0,9.00,1969,268.48,8.59,0.050,66.41,22.29,52.0,27,25.88,0
38.188,0.78,-0.78,0.00,14.89,29.66,0.54,49.0,13.76,0.62,14.79,14.66,0.0,0.85,1048.4,14.82,194,0.688,2.11,0.00,10.0,0.0,0.00,-1.41,1.000,1507,1513,71.8,3,8.50,2.95,73,28.38,33.65,2.26,13.98,206,0.0,9.00,1973,271.54,8.74,0.070,56.25,22.56,53.5,27,27.84,0
38.207,1.56,-0.78,0.00,14.92,29.10,0.64,51.0,13.84,0.73,14.79,14.66,0.0,0.88,1048.2,14.82,194,0.688,1.76,-0.50,7.0,0.0,0.00,-1.41,1.000,1580,1513,71.8,3,8.50,2.95,73,29.38,31.28,2.32,14.04,206,0.0,9.50,1981,274.84,8.81,0.167,42.97,22.68,62.6,27,29.80,0
38.232,1.56,-0.78,0.00,15.06,27.38,1.61,51.8,13.84,0.77,14.78,14.65,0.0,0.89,1048.2,14.82,194,0.688,1.76,-0.50,6.0,0.0,0.00,-1.41,1.000,1560,1513,71.8,3,8.50,2.95,73,29.85,36.53,2.32,14.13,206,0.0,9.50,1984,276.31,8.92,0.187,42.97,22.89,62.6,27,29.80,0
38.265,2.34,-0.78,0.00,14.93,22.97,5.11,52.5,13.84,0.83,14.78,14.65,0.0,0.91,1048.2,14.82,194,0.688,1.76,-0.50,5.0,0.0,0.00,-1.41,1.000,1570,1513,71.8,3,8.50,3.38,73,30.57,31.66,2.26,14.19,206,0.0,12.50,1983,278.05,8.95,0.600,87.50,22.98,70.5,27,30.98,0
38.296,1.56,-0.78,0.00,14.74,22.44,6.48,53.7,13.20,0.91,14.78,14.64,0.0,0.93,1048.2,14.82,194,0.688,2.11,0.00,4.0,0.0,0.00,-1.41,1.000,1505,1593,71.8,3,11.00,3.39,73,30.87,29.76,2.32,14.28,206,0.0,11.50,1984,280.65,8.97,0.630,99.22,23.06,100.0,27,32.94,0
38.307,1.56,-0.78,0.00,14.60,21.09,7.95,55.7,13.20,1.00,14.77,14.63,0.0,0.94,1048.2,14.82,194,0.688,2.11,0.00,3.0,0.0,0.00,-1.41,1.000,1571,1593,71.8,3,11.00,3.39,73,31.93,36.11,2.32,14.37,206,0.0,12.00,1994,283.94,9.07,0.782,99.22,23.20,100.0,27,32.94,0
38.344,0.78,-0.78,-0.12,14.31,19.43,10.35,56.9,13.36,1.07,14.77,14.63,0.0,0.96,1048.2,14.82,194,0.688,2.11,0.00,3.0,0.0,0.00,-1.41,1.000,1631,1593,71.8,3,12.00,3.41,73,32.14,35.26,2.40,14.42,206,0.0,12.50,2003,286.43,9.22,0.802,-0.78,23.42,100.0,27,34.90,0
38.358,-0.78,-0.78,-0.12,14.33,19.25,10.64,58.4,13.36,1.15,14.77,14.63,0.0,0.97,1048.1,14.82,194,0.688,2.11,0.00,2.0,0.0,0.00,-1.41,1.000,1593,1593,71.8,3,12.50,3.43,73,32.46,33.05,2.28,14.51,206,0.0,12.50,2007,289.77,9.49,0.832,48.44,23.80,100.0,27,37.25,0
38.386,-0.78,-0.78,-0.12,14.26,19.09,10.90,60.0,13.36,1.19,14.77,14.63,0.0,0.98,1048.1,14.82,194,0.688,2.11,0.00,1.0,0.0,0.00,-1.41,1.000,1540,1593,71.8,3,12.50,3.43,73,33.22,35.47,2.28,14.58,206,0.0,12.50,2006,291.64,9.56,0.862,48.44,23.93,100.0,27,37.25,0
38.424,-0.78,-0.78,-0.12,14.39,18.97,11.16,61.2,13.20,1.27,14.77,14.63,0.0,0.98,1048.1,14.82,194,0.688,2.46,0.00,0.0,0.0,0.00,-1.41,1.000,1658,1593,71.8,3,11.50,3.43,73,33.18,37.38,2.32,14.63,206,0.0,13.00,2008,294.50,9.62,0.882,36.72,24.05,100.0,27,39.22,0
38.438,-0.78,-0.78,-0.12,14.46,18.71,11.72,62.0,13.28,1.36,14.77,14.63,0.0,1.00,1048.1,14.82,194,0.688,2.11,0.00,0.0,0.0,0.00,-1.41,1.000,1594,1646,71.8,3,11.50,3.43,73,34.05,40.60,2.44,14.75,206,0.0,12.00,2011,296.39,9.74,0.912,35.94,24.27,100.0,27,40.39,0
38.467,-0.78,-0.78,-0.12,14.63,17.09,14.23,62.7,13.28,1.42,14.77,14.63,0.0,1.02,1048.1,14.82,194,0.688,2.11,0.00,0.0,0.0,0.00,-1.41,1.000,1598,1646,71.8,3,11.50,3.43,73,34.50,39.24,2.44,14.78,206,0.0,12.00,2016,298.01,9.77,0.942,35.94,24.37,100.0,27,40.39,0
38.496,0.00,-0.78,0.00,14.69,16.75,14.92,63.5,13.28,1.50,14.77,14.63,0.0,1.01,1048.1,14.82,194,0.688,2.11,0.00,0.0,0.0,0.00,-1.41,1.000,1607,1646,71.8,3,11.50,3.45,73,34.86,32.45,2.32,14.87,206,0.0,12.00,2021,299.01,9.81,0.962,35.94,24.44,100.0,27,41.57,0
38.513,0.00,-0.78,0.00,14.69,15.17,17.58,63.9,13.28,1.56,14.77,14.63,0.0,1.03,1048.1,14.82,194,0.688,2.11,0.00,0.0,0.0,0.00,-1.41,1.000,1644,1646,71.8,3,11.50,3.45,73,34.89,39.58,2.32,14.89,206,0.0,11.50,2019,299.75,9.81,0.982,35.94,24.56,100.0,27,41.57,0
